account_id,loan_amount,outstanding_amount,days_past_due,customer_location,customer_income_band,previous_payment_history,num_contact_attempts,last_contact_channel,last_contact_outcome,assigned_channel,recovery_amount
A1036,97435,48978,290,Tier 2,Medium,Poor,3,Field,No Response,Call,0
A1037,86886,75948,20,Tier 2,High,Good,5,Legal,Refused,Call,0
A1038,96803,92110,227,Tier 3,Low,Average,5,Call,No Response,Call,0
A1039,61551,35075,165,Tier 3,Low,Good,4,Field,Paid,Legal,0
A1040,146216,80135,249,Tier 3,Low,Average,1,Call,No Response,Call,0
A1041,41394,29484,69,Tier 1,High,Average,5,Call,No Response,Call,16036
A1042,99092,95806,147,Tier 2,Medium,Average,1,Field,Refused,Legal,0
A1043,33890,26135,59,Tier 3,Medium,Poor,1,Legal,Promised,Call,0
A1044,71606,54687,176,Tier 2,High,Poor,2,Field,Refused,Call,0
A1045,117313,66934,174,Tier 1,Low,Good,6,None,Paid,Legal,0
A1046,171699,85917,198,Tier 2,Medium,Poor,1,Field,No Response,Field,0
A1047,38792,35109,101,Tier 1,Medium,Good,3,Call,Paid,Call,0
A1048,184969,100583,298,Tier 2,Medium,Good,6,None,Promised,Field,0
A1049,98148,80179,84,Tier 3,Low,Good,1,Call,Refused,Call,0
A1050,154243,147658,54,Tier 2,Medium,Poor,6,Legal,No Response,Call,0
A1051,150174,90754,62,Tier 2,Medium,Average,7,Call,Refused,Legal,0
A1052,184555,153667,184,Tier 1,Low,Average,7,None,No Response,Legal,0
A1053,154358,83252,170,Tier 3,Low,Average,2,Call,No Response,Field,0
A1054,78555,62991,76,Tier 2,Low,Average,5,Call,No Response,Field,0
A1055,47159,27444,279,Tier 2,Medium,Average,5,Call,No Response,Call,0
A1056,140510,121959,133,Tier 2,Low,Good,4,Call,No Response,Field,0
A1057,136530,88828,191,Tier 1,Medium,Average,1,Call,Paid,Call,0
A1058,110077,80542,191,Tier 2,Medium,Average,3,Call,Promised,Field,0
A1059,65920,52717,45,Tier 2,High,Average,7,Legal,Promised,Field,28282
A1060,49457,28963,221,Tier 3,Medium,Good,7,None,Promised,Field,0
A1061,108953,94878,143,Tier 1,Medium,Average,4,Legal,No Response,Call,63454
A1062,82995,54056,187,Tier 1,Medium,Average,4,Call,No Response,Call,0
A1063,39692,32991,175,Tier 2,Medium,Average,7,Call,Promised,Call,0
A1064,67065,38840,55,Tier 2,High,Poor,2,Call,No Response,Call,0
A1065,129299,109135,165,Tier 1,High,Average,5,Call,Promised,Call,0
A1066,193678,109252,245,Tier 3,Medium,Average,1,Field,No Response,Legal,0
A1067,41534,29600,69,Tier 1,Medium,Good,6,Legal,No Response,Field,0
A1068,70397,43899,14,Tier 1,Medium,Poor,6,Field,No Response,Legal,0
A1069,121387,106115,190,Tier 1,Low,Poor,1,None,Promised,Field,0
A1070,31016,19571,154,Tier 3,High,Good,5,Call,No Response,Call,0
A1071,85591,80529,274,Tier 1,Medium,Average,6,Field,No Response,Call,60943
A1072,53247,50366,232,Tier 2,Medium,Poor,2,Call,Refused,Call,0
A1073,54300,32483,246,Tier 2,Low,Average,7,Call,No Response,Field,0
A1074,112798,91019,22,Tier 2,Low,Poor,2,Field,No Response,Call,0
A1075,39268,21356,277,Tier 1,Low,Good,2,Field,Refused,Call,0
A1076,116807,81270,275,Tier 2,Low,Average,3,Call,Paid,Legal,56323
A1077,42185,36138,25,Tier 1,Medium,Good,1,Call,No Response,Call,22859
A1078,169643,140754,101,Tier 3,Low,Good,7,Call,Promised,Field,0
A1079,68044,55275,257,Tier 3,High,Poor,2,Call,Refused,Call,0
A1080,81214,52080,28,Tier 1,Medium,Average,2,Field,No Response,Legal,0
A1081,144752,99735,112,Tier 3,Medium,Good,5,Call,No Response,Field,0
A1082,78984,43557,104,Tier 1,Medium,Average,4,Call,Promised,Call,0
A1083,70774,60831,292,Tier 3,Low,Poor,4,Field,No Response,Legal,0
A1084,32568,24489,222,Tier 2,High,Good,4,Field,Paid,Field,0
A1085,150151,128286,46,Tier 2,Medium,Good,1,Field,No Response,Legal,0
A1086,163767,102267,70,Tier 1,Low,Average,3,Call,Promised,Legal,0
A1087,154375,102230,253,Tier 2,Low,Poor,1,Call,Promised,Call,0
A1088,166330,110960,15,Tier 1,Medium,Good,6,Legal,Paid,Call,0
A1089,69504,35646,174,Tier 2,Medium,Average,5,Call,Promised,Field,8210
A1090,194231,130236,22,Tier 1,Medium,Average,2,Field,Promised,Field,45463
A1091,43986,39660,34,Tier 2,Medium,Average,1,None,Promised,Legal,10427
A1092,91858,87141,233,Tier 2,Medium,Good,4,Call,Promised,Call,62117
A1093,159312,120935,132,Tier 2,Medium,Poor,3,Field,Refused,Call,0
A1094,42666,31050,138,Tier 2,Medium,Poor,5,Call,Promised,Field,0
A1095,68660,35388,131,Tier 1,Medium,Poor,2,Legal,No Response,Call,0
A1096,164633,154689,44,Tier 1,Low,Average,7,Call,Promised,Call,0
A1097,56854,28796,92,Tier 1,Medium,Good,3,Call,Refused,Call,17026
A1098,94505,91894,191,Tier 3,Low,Good,1,Call,No Response,Call,0
A1099,134488,100140,85,Tier 2,Low,Average,1,Legal,Refused,Field,0
A1100,52662,35334,113,Tier 2,Medium,Poor,3,Field,No Response,Call,0
A1101,38392,36937,241,Tier 3,Medium,Poor,3,Call,Refused,Call,0
A1102,60535,31005,52,Tier 3,Low,Poor,2,Field,Promised,Field,6825
A1103,143569,113521,102,Tier 2,Low,Good,7,Call,No Response,Legal,0
A1104,82256,63704,153,Tier 2,High,Average,4,Call,No Response,Call,0
A1105,119135,72631,263,Tier 3,Medium,Average,7,Field,Refused,Field,0
A1106,157478,112509,87,Tier 3,Low,Poor,7,Call,Paid,Call,71325
A1107,65222,53881,272,Tier 2,Low,Average,3,Legal,Paid,Legal,0
A1108,107373,92723,79,Tier 2,Medium,Average,2,Field,No Response,Legal,0
A1109,153684,76897,158,Tier 2,Medium,Good,3,None,Refused,Call,0
A1110,40965,39671,223,Tier 1,Low,Poor,6,Legal,Paid,Field,15956
A1111,54538,31755,156,Tier 3,Medium,Average,3,Call,Promised,Call,0
A1112,138066,85157,34,Tier 2,Medium,Average,6,Legal,Promised,Legal,44796
A1113,143252,90497,118,Tier 1,Medium,Poor,4,Legal,Promised,Call,0
A1114,169182,87790,190,Tier 1,High,Average,2,None,Paid,Field,0
A1115,188338,105756,260,Tier 3,Low,Average,1,Call,Refused,Field,0
A1116,128806,127926,212,Tier 2,High,Average,2,Legal,Paid,Call,0
A1117,167982,110466,179,Tier 1,High,Good,2,Call,No Response,Call,60518
A1118,140989,78622,184,Tier 1,Medium,Good,2,Field,Paid,Call,0
A1119,120982,66963,179,Tier 2,High,Good,4,Call,Refused,Field,0
A1120,151626,130357,11,Tier 1,Medium,Good,4,None,No Response,Field,38766
A1121,149176,138328,143,Tier 2,High,Good,5,Call,No Response,Legal,0
A1122,161278,101359,136,Tier 2,Medium,Average,6,Field,No Response,Field,0
A1123,152409,77797,55,Tier 2,Low,Good,1,Field,Refused,Field,34175
A1124,53419,32668,203,Tier 3,Medium,Poor,4,Call,No Response,Call,0
A1125,80015,42268,218,Tier 1,Low,Poor,6,Field,Refused,Field,0
A1126,152096,83910,67,Tier 1,Low,Average,4,Field,Promised,Call,0
A1127,137059,98100,87,Tier 1,Medium,Poor,2,Field,No Response,Call,44721
A1128,140687,86516,211,Tier 1,High,Average,2,Call,Paid,Field,0
A1129,117939,89394,298,Tier 1,Medium,Poor,6,Call,Promised,Call,0
A1130,179213,112321,71,Tier 2,Medium,Average,3,Call,No Response,Call,63903
A1131,135878,131838,277,Tier 1,Low,Average,3,Legal,Refused,Legal,0
A1132,194899,185733,135,Tier 3,Medium,Poor,3,Call,Promised,Field,136288
A1133,92623,72561,58,Tier 1,Medium,Average,6,Call,No Response,Call,41297
A1134,105450,71412,97,Tier 2,Low,Average,4,Call,Refused,Call,0
A1135,123426,85234,270,Tier 3,Low,Average,3,Field,Promised,Legal,0
A1136,147845,104367,188,Tier 1,Medium,Poor,1,Call,Promised,Call,0
A1137,183371,158393,78,Tier 2,Medium,Average,6,Call,No Response,Legal,0
A1138,73585,53409,69,Tier 2,Medium,Average,3,Call,Promised,Call,0
A1139,139225,129251,258,Tier 2,High,Average,5,Field,No Response,Field,0
A1140,94044,91415,178,Tier 2,High,Poor,5,None,Paid,Call,0
A1141,139556,93219,278,Tier 1,Medium,Average,2,Call,Promised,Field,56882
A1142,32693,25511,121,Tier 2,Medium,Average,4,Legal,No Response,Field,15275
A1143,125259,68582,109,Tier 2,Low,Average,6,Call,Refused,Field,0
A1144,55939,33576,224,Tier 1,Low,Good,5,Call,Promised,Field,8416
A1145,182906,129265,122,Tier 3,High,Average,1,Call,No Response,Call,0
A1146,48047,28977,106,Tier 2,Medium,Poor,2,None,No Response,Legal,0
A1147,56105,52642,127,Tier 2,Medium,Average,5,Field,Refused,Call,0
A1148,105766,61253,45,Tier 3,Low,Average,7,Call,Promised,Call,23267
A1149,176779,128665,299,Tier 2,High,Average,3,Call,Refused,Call,0
A1150,183048,146960,133,Tier 1,Low,Poor,5,Field,Paid,Call,64817
A1151,74262,62820,49,Tier 2,Low,Average,5,Call,Refused,Call,0
A1152,155117,107268,150,Tier 3,Low,Good,2,Call,Refused,Field,50056
A1153,53776,50256,35,Tier 2,Medium,Good,4,Legal,Refused,Field,0
A1154,191152,149893,151,Tier 3,Medium,Average,3,Call,Refused,Call,0
A1155,158376,113991,66,Tier 1,Medium,Poor,3,Field,Refused,Legal,0
A1156,167848,89567,159,Tier 1,Low,Poor,7,Call,Refused,Call,0
A1157,122787,89922,214,Tier 2,High,Good,3,Call,Refused,Legal,0
A1158,157948,143790,85,Tier 2,High,Poor,3,None,No Response,Call,101401
A1159,85016,68630,294,Tier 1,Low,Average,4,None,Refused,Call,0
A1160,170546,156233,219,Tier 3,High,Average,3,Field,Promised,Field,0
A1161,51959,38813,267,Tier 1,High,Poor,4,Call,No Response,Field,0
A1162,166602,93168,268,Tier 1,Medium,Average,2,Field,No Response,Field,0
A1163,149101,75567,193,Tier 3,Low,Good,1,Call,Refused,Field,0
A1164,33748,21990,20,Tier 1,High,Poor,4,Legal,No Response,Field,0
A1165,43545,36969,169,Tier 3,Low,Good,3,Legal,Paid,Legal,0
A1166,157659,141125,269,Tier 1,Low,Poor,2,Legal,No Response,Call,72714
A1167,195838,126878,97,Tier 1,Medium,Average,2,Field,Paid,Call,0
A1168,103530,77422,193,Tier 3,Medium,Good,5,Legal,No Response,Legal,53368
A1169,123557,87794,25,Tier 3,Medium,Good,5,Call,Refused,Call,0
A1170,91087,64240,253,Tier 2,Medium,Good,1,Call,Refused,Call,47789
A1171,98840,60853,95,Tier 1,Medium,Poor,1,Field,Refused,Call,0
A1172,148451,84347,208,Tier 2,Medium,Good,5,Call,No Response,Field,0
A1173,81005,48468,19,Tier 1,Medium,Average,6,Field,Promised,Field,0
A1174,69353,36595,173,Tier 3,Medium,Good,5,Field,No Response,Call,0
A1175,82733,49562,33,Tier 1,High,Poor,2,Call,No Response,Call,0
A1176,95318,48097,73,Tier 3,High,Poor,7,Call,Promised,Call,29703
A1177,184736,150306,247,Tier 2,Medium,Average,7,Legal,No Response,Call,0
A1178,97172,63957,247,Tier 2,Low,Poor,4,Call,Refused,Call,0
A1179,123264,121608,31,Tier 3,High,Average,5,None,No Response,Field,32587
A1180,56736,33863,189,Tier 1,Low,Good,3,Call,No Response,Call,0
A1181,142859,96131,56,Tier 3,Low,Good,4,Field,No Response,Call,0
A1182,142181,96529,288,Tier 1,High,Average,6,None,No Response,Call,0
A1183,161926,81647,233,Tier 1,Medium,Good,4,None,Paid,Legal,26173
A1184,120084,110429,227,Tier 2,Medium,Poor,3,Legal,Refused,Call,0
A1185,199695,103042,246,Tier 3,High,Poor,7,Legal,No Response,Call,0
A1186,37392,36273,213,Tier 1,High,Average,3,Field,No Response,Call,0
A1187,85680,81056,28,Tier 2,Medium,Poor,3,Field,No Response,Call,0
A1188,80859,62080,189,Tier 2,High,Good,2,Field,Refused,Field,43260
A1189,155657,120135,171,Tier 1,Medium,Good,7,Legal,Paid,Legal,0
A1190,187381,154943,294,Tier 1,Low,Average,5,Legal,Refused,Call,0
A1191,100467,69676,70,Tier 2,High,Average,6,Legal,Refused,Field,0
A1192,128506,105838,94,Tier 1,Low,Average,5,Field,Refused,Legal,0
A1193,139751,73003,44,Tier 2,Medium,Good,2,Field,No Response,Legal,0
A1194,148906,78477,14,Tier 3,Medium,Average,7,None,Refused,Field,42242
A1195,173760,126604,85,Tier 3,Medium,Poor,4,Call,No Response,Call,0
A1196,55342,42879,262,Tier 1,Low,Average,2,Call,No Response,Field,0
A1197,198229,187110,16,Tier 2,High,Average,5,None,Refused,Field,95339
A1198,136308,75287,178,Tier 1,Medium,Good,1,Field,No Response,Field,0
A1199,136081,124013,139,Tier 2,Low,Good,2,Call,Paid,Legal,96891
A1200,119045,72025,147,Tier 3,Medium,Average,1,Legal,Promised,Field,0
A1201,64698,45097,100,Tier 1,Medium,Good,1,Legal,No Response,Call,0
A1202,140078,92213,172,Tier 2,Medium,Poor,6,Call,Refused,Field,0
A1203,110623,77444,262,Tier 3,Low,Good,3,Call,Refused,Call,0
A1204,52671,30298,210,Tier 2,Medium,Average,3,Legal,Refused,Call,0
A1205,186256,140024,29,Tier 2,Low,Average,3,Legal,Promised,Field,0
A1206,123384,111146,238,Tier 1,High,Good,1,Call,No Response,Call,0
A1207,116202,83754,172,Tier 2,Low,Poor,5,Legal,No Response,Call,0
A1208,81663,60863,174,Tier 1,Medium,Poor,3,Call,No Response,Call,0
A1209,45708,42251,241,Tier 2,Medium,Average,6,Call,Paid,Legal,0
A1210,121906,103989,247,Tier 2,Medium,Average,3,None,Promised,Call,43752
A1211,79811,59477,129,Tier 3,Low,Poor,4,Field,Promised,Call,0
A1212,163883,103057,116,Tier 1,Low,Average,6,Call,No Response,Legal,0
A1213,86250,81287,259,Tier 2,Low,Average,1,Call,No Response,Field,0
A1214,142547,112399,293,Tier 2,Medium,Poor,1,Call,Promised,Call,0
A1215,154249,94180,207,Tier 1,Low,Poor,3,None,No Response,Field,0
A1216,64754,41090,229,Tier 2,Low,Average,4,Call,Promised,Call,0
A1217,172483,155504,160,Tier 1,Low,Good,4,Call,Refused,Field,0
A1218,163983,85611,295,Tier 1,High,Good,2,Field,Promised,Call,0
A1219,169752,169080,274,Tier 1,High,Average,2,Call,Paid,Call,0
A1220,114896,64936,229,Tier 1,Medium,Poor,3,Field,No Response,Call,0
A1221,101295,90966,225,Tier 3,Medium,Average,6,Call,Promised,Call,0
A1222,130689,91140,165,Tier 1,Low,Average,1,Call,No Response,Field,0
A1223,41111,30673,225,Tier 3,Medium,Good,6,None,Paid,Field,0
A1224,67504,63475,123,Tier 1,Medium,Average,4,Call,Promised,Legal,14254
A1225,162874,115063,170,Tier 2,Medium,Average,4,Field,Promised,Field,40628
A1226,38155,29331,107,Tier 2,Medium,Average,4,Legal,Promised,Call,0
A1227,69384,36402,166,Tier 3,Medium,Poor,1,Call,Promised,Field,13499
A1228,142561,71447,171,Tier 3,Low,Poor,7,Call,No Response,Field,0
A1229,77254,48082,51,Tier 3,Low,Poor,2,Legal,No Response,Legal,0
A1230,51918,43626,189,Tier 3,Low,Average,7,Field,No Response,Field,0
A1231,115981,65022,60,Tier 1,Low,Poor,3,Call,Promised,Call,0
A1232,60306,33583,261,Tier 3,Low,Average,2,Field,No Response,Call,0
A1233,177718,125376,129,Tier 3,Low,Poor,4,Legal,Refused,Field,0
A1234,76843,63312,84,Tier 1,Low,Average,6,Call,Promised,Call,0
A1235,150975,129240,171,Tier 3,Low,Poor,6,Call,Promised,Call,0
A1236,126601,74596,158,Tier 2,Low,Good,4,Call,Refused,Field,0
A1237,137512,74228,132,Tier 3,Low,Poor,1,Field,No Response,Call,0
A1238,177443,172154,150,Tier 3,Medium,Good,7,None,Refused,Call,0
A1239,141472,89174,191,Tier 3,Medium,Good,1,Legal,No Response,Call,0
A1240,163121,151159,286,Tier 3,High,Average,7,Call,Paid,Field,0
A1241,192688,179536,266,Tier 1,High,Average,7,Legal,Promised,Field,0
A1242,133727,118517,254,Tier 1,Medium,Average,1,Legal,No Response,Call,0
A1243,142893,83509,95,Tier 1,Medium,Average,3,Field,No Response,Call,0
A1244,50932,46393,80,Tier 1,Low,Good,5,Field,No Response,Call,23542
A1245,147796,130744,278,Tier 1,High,Average,6,Legal,Refused,Legal,0
A1246,59855,47785,189,Tier 2,Medium,Poor,7,Legal,No Response,Call,0
A1247,37400,25005,288,Tier 1,High,Poor,5,Legal,No Response,Legal,0
A1248,147858,93335,158,Tier 2,Low,Good,6,Call,No Response,Legal,0
A1249,45151,25327,15,Tier 3,Medium,Average,7,Field,Paid,Call,0
A1250,96690,72989,157,Tier 2,Low,Good,7,Legal,No Response,Field,0
A1251,34499,27344,177,Tier 2,High,Average,7,Call,Refused,Call,0
A1252,36295,24668,18,Tier 1,Low,Average,3,Call,Refused,Legal,0
A1253,150885,111304,187,Tier 1,Medium,Poor,6,Legal,Promised,Field,0
A1254,156071,106402,293,Tier 2,Low,Poor,3,Call,Promised,Field,0
A1255,89040,73057,125,Tier 2,High,Poor,3,Call,Promised,Field,0
A1256,42183,40100,105,Tier 2,Low,Average,2,Call,No Response,Call,0
A1257,190371,110788,65,Tier 2,High,Average,6,Call,Paid,Call,0
A1258,173946,120145,216,Tier 1,Medium,Poor,3,None,Promised,Field,0
A1259,146336,83475,114,Tier 1,Medium,Good,2,Legal,No Response,Call,0
A1260,62711,50950,44,Tier 3,Low,Average,6,Call,No Response,Call,0
A1261,35539,30721,218,Tier 1,High,Good,1,Call,No Response,Field,0
A1262,156063,150750,290,Tier 2,Medium,Average,6,Call,Refused,Legal,0
A1263,163629,104630,156,Tier 3,Medium,Average,4,Call,Promised,Legal,0
A1264,68360,66658,296,Tier 1,Medium,Average,5,Call,Promised,Legal,0
A1265,163272,86800,90,Tier 2,Low,Poor,4,Legal,Refused,Field,0
A1266,51357,41162,59,Tier 2,Low,Average,5,Legal,Refused,Legal,0
A1267,149121,78820,96,Tier 2,Medium,Poor,1,Legal,Refused,Field,0
A1268,107505,101795,200,Tier 1,Medium,Poor,5,Legal,Promised,Call,20797
A1269,32869,25141,10,Tier 3,Medium,Poor,1,Field,Paid,Call,0
A1270,80108,66864,147,Tier 1,Medium,Poor,6,Field,No Response,Legal,0
A1271,142296,130312,145,Tier 2,Medium,Good,4,None,Refused,Field,0
A1272,124179,71422,163,Tier 2,High,Good,2,Field,Promised,Field,0
A1273,120272,62456,171,Tier 1,Medium,Poor,6,Field,Refused,Call,0
A1274,68467,64320,28,Tier 1,Medium,Average,7,Legal,Paid,Call,51002
A1275,53328,35061,252,Tier 1,High,Good,6,Call,Promised,Legal,0
A1276,121412,68535,138,Tier 2,Medium,Average,5,None,Promised,Field,0
A1277,165059,121191,185,Tier 1,Medium,Poor,7,Call,Promised,Legal,0
A1278,88871,71021,289,Tier 3,Medium,Poor,7,Field,Refused,Call,0
A1279,183471,94576,93,Tier 1,High,Average,6,Call,No Response,Call,0
A1280,158391,100965,231,Tier 3,Medium,Poor,3,Legal,Promised,Call,0
A1281,116416,60117,154,Tier 3,Low,Average,2,None,Paid,Call,14256
A1282,100271,71209,115,Tier 2,Medium,Average,2,Call,No Response,Call,0
A1283,74064,70179,20,Tier 2,Low,Average,1,Legal,Paid,Field,0
A1284,137450,136257,175,Tier 1,Medium,Poor,4,Call,Paid,Call,0
A1285,49830,40787,205,Tier 3,Medium,Average,3,Call,Paid,Legal,0
A1286,178501,103676,240,Tier 2,Low,Average,4,Call,Paid,Legal,0
A1287,167965,160057,156,Tier 3,Medium,Average,7,Call,Refused,Call,0
A1288,146381,110974,247,Tier 2,Medium,Average,7,Field,No Response,Field,0
A1289,77333,44611,22,Tier 3,High,Average,4,Legal,No Response,Field,15137
A1290,164508,158069,228,Tier 2,Low,Average,2,Call,No Response,Call,0
A1291,106213,93333,266,Tier 3,Medium,Average,3,Call,Refused,Legal,0
A1292,166967,144568,11,Tier 1,Medium,Good,5,Call,Paid,Call,87242
A1293,180810,154518,219,Tier 2,Low,Poor,7,Call,No Response,Field,0
A1294,60746,36457,234,Tier 2,Medium,Average,3,Call,Promised,Call,28674
A1295,79377,48063,203,Tier 2,High,Poor,1,Call,No Response,Legal,0
A1296,84045,70946,205,Tier 2,Low,Poor,6,Call,Promised,Field,0
A1297,127888,77993,269,Tier 2,Medium,Average,2,Legal,Promised,Legal,0
A1298,137455,98876,66,Tier 1,Medium,Good,3,Call,No Response,Call,50140
A1299,166672,148504,122,Tier 2,Low,Average,1,Legal,Paid,Call,60154
A1300,123179,109872,222,Tier 2,Low,Poor,5,Call,Refused,Call,32685
A1301,75714,55016,288,Tier 1,Medium,Good,4,Field,Paid,Legal,40822
A1302,132946,119132,253,Tier 3,High,Good,4,Legal,No Response,Call,0
A1303,139616,128350,126,Tier 1,Medium,Poor,1,Call,Refused,Call,0
A1304,135983,112510,96,Tier 1,Medium,Poor,2,None,Paid,Call,25882
A1305,154123,94664,272,Tier 2,Medium,Average,4,Call,Refused,Call,0
A1306,179661,114445,122,Tier 3,Low,Average,2,Field,Promised,Legal,0
A1307,73484,48309,173,Tier 2,Medium,Average,2,Call,Refused,Call,0
A1308,112989,63093,13,Tier 3,Medium,Average,4,Call,Paid,Field,0
A1309,66212,42149,127,Tier 2,Medium,Average,5,Call,No Response,Call,0
A1310,73525,44464,32,Tier 3,Low,Average,6,None,Promised,Call,0
A1311,193707,140953,242,Tier 1,High,Average,3,Call,No Response,Call,0
A1312,93208,88940,99,Tier 3,Medium,Average,6,Field,No Response,Field,0
A1313,63828,35248,264,Tier 2,Low,Good,4,None,No Response,Call,0
A1314,179783,154637,101,Tier 2,Medium,Poor,3,Call,Promised,Call,0
A1315,33420,28194,164,Tier 1,Medium,Good,2,Call,Refused,Call,0
A1316,126752,69444,124,Tier 3,Low,Poor,7,None,Refused,Field,0
A1317,161373,155125,216,Tier 2,Medium,Good,5,Legal,Promised,Call,37537
A1318,145294,113944,90,Tier 3,Medium,Good,2,None,No Response,Legal,0
A1319,154019,105019,112,Tier 1,Low,Average,7,Call,No Response,Call,25022
A1320,95726,84073,89,Tier 1,Medium,Good,5,Field,No Response,Legal,0
A1321,171564,107859,112,Tier 1,Low,Average,7,Call,Promised,Field,0
A1322,145668,123345,249,Tier 2,Low,Good,6,Legal,Refused,Field,0
A1323,36102,18767,274,Tier 3,Low,Average,6,None,Refused,Call,0
A1324,148015,136129,42,Tier 1,Low,Good,6,Call,No Response,Call,65323
A1325,56641,41012,44,Tier 1,High,Good,1,Call,No Response,Field,31116
A1326,195656,160114,258,Tier 1,High,Average,6,Call,Refused,Field,0
A1327,193817,118348,59,Tier 2,High,Average,5,Field,Refused,Field,0
A1328,184165,154429,289,Tier 1,Low,Good,5,Call,No Response,Call,82383
A1329,133746,118515,251,Tier 3,Medium,Average,6,Field,No Response,Call,0
A1330,66631,49080,161,Tier 1,Medium,Good,2,Call,No Response,Field,20260
A1331,102991,83305,156,Tier 3,Low,Poor,6,None,No Response,Call,0
A1332,34014,24767,48,Tier 2,High,Average,6,Call,No Response,Legal,0
A1333,41093,38916,198,Tier 1,High,Good,4,Call,No Response,Legal,13352
A1334,48070,36001,34,Tier 3,Medium,Poor,7,Call,Refused,Call,0
A1335,65777,60574,253,Tier 2,Low,Poor,4,Call,Paid,Field,0
A1336,86958,78320,232,Tier 2,Medium,Average,7,Call,Promised,Field,39840
A1337,112074,79040,239,Tier 2,Low,Good,3,Legal,Promised,Call,36746
A1338,40729,25050,162,Tier 1,Low,Good,1,None,Refused,Call,0
A1339,188823,132750,297,Tier 3,Medium,Poor,5,Call,No Response,Call,0
A1340,135864,124058,117,Tier 2,Medium,Average,3,Legal,No Response,Call,0
A1341,160858,98737,42,Tier 3,Low,Good,6,Call,No Response,Legal,0
A1342,135510,103288,120,Tier 2,Low,Poor,5,Legal,Refused,Field,0
A1343,84748,76531,130,Tier 1,Medium,Average,5,Call,No Response,Call,19597
A1344,35801,24227,25,Tier 1,High,Average,1,Call,No Response,Field,0
A1345,180262,148013,236,Tier 3,Medium,Poor,1,Field,Paid,Legal,0
A1346,59592,37114,20,Tier 3,Low,Poor,7,Legal,No Response,Call,0
A1347,40647,22544,212,Tier 2,Medium,Good,3,Call,Promised,Field,4593
A1348,169788,152332,211,Tier 1,Medium,Average,4,Call,Refused,Legal,84852
A1349,140627,77272,107,Tier 2,High,Average,5,Legal,Refused,Legal,0
A1350,100316,63769,125,Tier 3,Medium,Good,2,Field,Paid,Field,45596
A1351,32368,30023,290,Tier 3,Low,Good,3,Legal,Paid,Legal,0
A1352,107575,72423,241,Tier 1,Low,Average,5,Call,Promised,Call,0
